183705,1321211
289308,1268588
289309,1210997
288594,1164280
288592,1163369
289310,1158856
163503,1144134
17401,1142070
163504,1136705
197961,1123178
200078,1123018
222721,1119730
17399,1055862
183699,1035769
288593,1014619
288587,1003482
288596,993160
289321,983377
288589,958101
288137,910461
181156,877570
288588,840737
288654,826919
182073,815274
290581,765503
289323,745160
189740,710698
289315,690803
293686,684558
289329,680639
293684,675319
289312,655951
201314,654150
201311,653019
288138,651673
201399,642867
200623,638667
289330,614121
201220,591301
181130,562936
222894,554325
181131,553428
201373,535980
263769,519671
293706,519143
293687,518496
263768,511765
17413,509127
293685,497547
163709,490447
183357,484784
263811,480776
289322,475804
263809,471770
302124,468113
263765,468082
293705,463499
293709,459312
263813,454041
302126,443973
298921,443304
298920,443152
298919,443096
298918,440726
298922,440096
17406,425650
289336,425226
201424,424118
294776,414233
289332,413913
273525,413758
289335,412136
288314,410911
288313,410910
288309,410296
288310,410081
288312,408980
288311,408910
304226,406836
302226,406183
302227,405363
304227,405138
304225,404550
304237,402119
304233,401232
304229,400925
294710,400694
289325,400257
304234,400024
304238,400014
304239,399570
304235,399118
304231,398930
304228,398869
302228,398555
304230,397913
304232,397838
304236,397522
302229,390350
181095,385144
293645,382502
302230,382377
262049,377562
187092,374339
227580,373574
227577,373573
227579,373547
304511,372343
293639,372030
304508,371474
278203,371365
304544,371191
304509,368957
304510,368953
304515,368854
304219,368684
288582,367885
289327,367823
304218,367586
304223,367208
304543,367075
304224,367058
304216,366493
293640,365214
304531,364030
293644,363043
304220,362902
17532,361962
289307,361596
304541,361128
304217,360537
304214,359825
304503,359806
304222,359668
304512,359412
304500,358880
304211,358493
304221,358357
304215,358216
304514,358048
304502,357812
304501,356631
304213,356199
304212,354458
304540,353671
17400,353296
293637,352896
304529,352829
294775,352698
288595,351746
304528,350899
304210,350431
234558,350371
217853,350019
184750,349456
304545,348630
294706,348289
304542,347423
288583,347320
289328,347273
304471,346950
304468,346119
288581,345636
289326,345398
304470,344865
304469,344693
